Поле,Значение,Уверенность,Метод извлечения,Источник
Тема ВКР,"Обнаружено Х заявок по подстанции ХХХХХ, затрагивающих Х разных ТП. Возможна неисправность на подстанции или питающей линии.",95%,regex,"тема выдала рекомендацию следующего формата: «Обнаружено Х заявок по подстанции ХХХХХ, затрагивающих Х разных ТП. Возможна неисправность на подстанции..."
ФИО студента,Контроль энергосистемы Мониторинг,90%,regex,авторизации пользователя 26 1.7 Инфологическая модель данных 26 1.8 Выходные данные 31 1.9 Выходные данные 31 1.10 Меры по обеспечению безопасности 32...
"Ученая степень, должность руководителя","д.т.н., директора",80%,regex,Федеральное агентство по рыболовству Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственны...
ФИО руководителя,Институт Информационных,85%,regex,Федеральное агентство по рыболовству Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственны...
Консультанты,Институт Информационных; Профиль Разработка; Кафедра Автоматизированные; Казанский Роман Андреевич; Фамилия Имя Отчество; Мамлеева Аделя Рифкатовна; Фамилия Имя Отчество; Мамлеева Аделя Рифкатовна; Кравченкова Татьяна Павловна; Казанскому Роману Адреевичу; Мамлеева Аделя Рифкатовна; Республики Калмыкия; Диспетчерская Отдел; Заявка Заявка; Россети Юг; Россети Юг; Россети Юг; Россети Юг; Россети Юг; Уоллс Крейг; Раджпут Динеш; Символ Плюс; Симпсон Кайл,70%,regex,Федеральное агентство по рыболовству Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственны...
Рецензенты,Институт Информационных; Профиль Разработка; Кафедра Автоматизированные; Казанский Роман Андреевич; Фамилия Имя Отчество; Мамлеева Аделя Рифкатовна; Фамилия Имя Отчество; Мамлеева Аделя Рифкатовна; Кравченкова Татьяна Павловна; Казанскому Роману Адреевичу; Мамлеева Аделя Рифкатовна; Республики Калмыкия; Диспетчерская Отдел; Заявка Заявка; Россети Юг; Россети Юг; Россети Юг; Россети Юг; Россети Юг; Уоллс Крейг; Раджпут Динеш; Символ Плюс; Симпсон Кайл,70%,regex,Федеральное агентство по рыболовству Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственны...
Стандарт,Не указан,80%,none,
